PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Deck
1,0,3,1,22.0,1,0,7.25,47.0,2.0,5.0
2,1,1,0,38.0,1,0,71.2833,81.0,0.0,5.0
3,1,3,0,26.0,0,0,7.925,47.0,2.0,5.0
4,1,1,0,35.0,1,0,53.1,55.0,2.0,5.0
5,0,3,1,35.0,0,0,8.05,47.0,2.0,5.0
6,0,3,1,29.69911764705882,0,0,8.4583,47.0,1.0,5.0
7,0,1,1,54.0,0,0,51.8625,129.0,2.0,10.0
8,0,3,1,2.0,3,1,21.075,47.0,2.0,5.0
9,1,3,0,27.0,0,2,11.1333,47.0,2.0,5.0
10,1,2,0,14.0,1,0,30.0708,47.0,0.0,5.0
11,1,3,0,4.0,1,1,16.7,145.0,2.0,14.0
12,1,1,0,58.0,0,0,26.55,49.0,2.0,5.0
13,0,3,1,20.0,0,0,8.05,47.0,2.0,5.0
14,0,3,1,39.0,1,5,31.275,47.0,2.0,5.0
15,0,3,0,14.0,0,0,7.8542,47.0,2.0,5.0
16,1,2,0,55.0,0,0,16.0,47.0,2.0,5.0
17,0,3,1,2.0,4,1,29.125,47.0,1.0,5.0
18,1,2,1,29.69911764705882,0,0,13.0,47.0,2.0,5.0
19,0,3,0,31.0,1,0,18.0,47.0,2.0,5.0
20,1,3,0,29.69911764705882,0,0,7.225,47.0,0.0,5.0
21,0,2,1,35.0,0,0,26.0,47.0,2.0,5.0
22,1,2,1,34.0,0,0,13.0,111.0,2.0,8.0
23,1,3,0,15.0,0,0,8.0292,47.0,1.0,5.0
24,1,1,1,28.0,0,0,35.5,13.0,2.0,0.0
25,0,3,0,8.0,3,1,21.075,47.0,2.0,5.0
26,1,3,0,38.0,1,5,31.3875,47.0,2.0,5.0
27,0,3,1,29.69911764705882,0,0,7.225,47.0,0.0,5.0
28,0,1,1,19.0,3,2,263.0,63.0,2.0,7.0
29,1,3,0,29.69911764705882,0,0,7.8792,47.0,1.0,5.0
30,0,3,1,29.69911764705882,0,0,7.8958,47.0,2.0,5.0
31,0,1,1,40.0,0,0,27.7208,47.0,0.0,5.0
32,1,1,0,29.69911764705882,1,0,146.5208,41.0,0.0,1.0
33,1,3,0,29.69911764705882,0,0,7.75,47.0,1.0,5.0
34,0,2,1,66.0,0,0,10.5,47.0,2.0,5.0
35,0,1,1,28.0,1,0,82.1708,47.0,0.0,5.0
36,0,1,1,42.0,1,0,52.0,47.0,2.0,5.0
37,1,3,1,29.69911764705882,0,0,7.2292,47.0,0.0,5.0
